Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Cu (at.%),composition,Al (at.%),Mn (at.%)
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,41.3,7.22969,68.3,Cu68.3Al25.8Mn5.9 %,25.8,5.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,46.8,7.33543,70.0,Cu70.0Al24.1Mn5.9 %,24.1,5.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,46.8,7.33543,70.0,Cu70.0Al24.1Mn5.9 %,24.1,5.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,46.8,7.3402,70.0,Cu70.0Al24.0Mn6.0 %,24.0,6.0
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,45.0,7.4646,72.0,Cu72.0Al22.0Mn6.0 %,22.0,6.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,45.0,7.4646,72.0,Cu72.0Al22.0Mn6.0 %,22.0,6.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,40.9,7.18802,67.4,Cu67.4Al26.4Mn6.2 %,26.4,6.2
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,40.9,7.18802,67.4,Cu67.4Al26.4Mn6.2 %,26.4,6.2
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,40.9,7.09327,65.8,Cu65.8Al27.9Mn6.3 %,27.9,6.3
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,46.0,7.52432,72.5,Cu72.5Al20.9Mn6.6 %,20.9,6.6
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,45.9,7.21664,67.4,Cu67.4Al25.8Mn6.8 %,25.8,6.8
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,38.3,7.27117,68.2,Cu68.2Al24.9Mn6.9 %,24.9,6.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,38.3,7.27117,68.2,Cu68.2Al24.9Mn6.9 %,24.9,6.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,37.1,7.32093,69.0,Cu69.0Al24.1Mn6.9 %,24.1,6.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,45.0,7.48742,71.6,Cu71.6Al21.4Mn7.0 %,21.4,7.0
